target,stage,model,loco_auc,loco_ci_lo,loco_ci_hi,temporal_auc,brier,marginal
y_breakout_wc,TAB,logreg,0.5278,0.5255,0.5307,0.5248,0.2518,
y_breakout_wc,+priors,logreg,0.5281,0.5255,0.5305,0.518,0.3186,0.0003
y_breakout_wc,+text,logreg,0.5282,0.5257,0.5308,0.52,0.3232,0.0001
y_breakout_wc,+creator_fit,logreg,0.5289,0.5264,0.5314,0.5219,0.3221,0.0007
y_breakout_wc,+trend,logreg,0.529,0.5265,0.5315,0.5221,0.3222,0.0001
y_breakout_wc,+retrieval,logreg,0.5289,0.5264,0.5314,0.5221,0.3223,-0.0001
y_er_wc,TAB,logreg,0.5412,0.5387,0.5439,0.5416,0.2501,
y_er_wc,+priors,logreg,0.5478,0.5453,0.5503,0.5599,0.2994,0.0066
y_er_wc,+text,logreg,0.5456,0.5432,0.5479,0.5558,0.3051,-0.0022
y_er_wc,+creator_fit,logreg,0.546,0.5437,0.5484,0.5569,0.305,0.0004
y_er_wc,+trend,logreg,0.5461,0.5437,0.5484,0.5568,0.3051,0.0001
y_er_wc,+retrieval,logreg,0.5461,0.5437,0.5485,0.557,0.3051,0.0
