,duration_s,caption_len,word_count,hashtag_count,emoji_count,question_count,speaking_rate,joy,anger,surprise,sadness,fear,arousal,is_weekend,is_english,created_by_ai,is_ads,music_popularity_log,creator_followers_log
duration_s,1.0,0.192,0.254,0.109,0.004,0.199,0.294,-0.197,0.138,0.153,0.023,0.145,0.201,-0.013,0.077,0.034,,-0.274,0.146
caption_len,0.192,1.0,0.321,0.621,0.195,0.109,0.079,-0.01,-0.044,0.162,-0.109,-0.02,0.064,-0.031,0.555,-0.041,,0.033,0.005
word_count,0.254,0.321,1.0,0.209,0.144,0.449,0.39,-0.134,0.122,0.132,0.032,0.103,0.188,-0.025,0.322,-0.018,,-0.066,0.232
hashtag_count,0.109,0.621,0.209,1.0,0.198,0.091,0.07,0.021,-0.034,0.079,-0.083,-0.027,0.014,-0.008,0.243,-0.023,,0.036,-0.031
emoji_count,0.004,0.195,0.144,0.198,1.0,0.173,0.185,0.181,-0.149,-0.066,-0.109,-0.166,-0.127,-0.011,0.169,-0.016,,0.069,0.018
question_count,0.199,0.109,0.449,0.091,0.173,1.0,0.412,-0.045,0.078,0.035,-0.008,0.044,0.099,-0.014,0.127,-0.005,,-0.084,0.172
speaking_rate,0.294,0.079,0.39,0.07,0.185,0.412,1.0,-0.153,0.173,0.067,0.051,0.12,0.199,-0.026,0.064,0.05,,-0.218,0.11
joy,-0.197,-0.01,-0.134,0.021,0.181,-0.045,-0.153,1.0,-0.709,-0.392,-0.525,-0.823,-0.775,0.031,0.066,-0.015,,0.164,-0.034
anger,0.138,-0.044,0.122,-0.034,-0.149,0.078,0.173,-0.709,1.0,0.308,0.384,0.611,0.78,-0.024,-0.079,0.01,,-0.185,0.061
surprise,0.153,0.162,0.132,0.079,-0.066,0.035,0.067,-0.392,0.308,1.0,-0.012,0.356,0.635,-0.025,0.089,0.021,,-0.059,0.056
sadness,0.023,-0.109,0.032,-0.083,-0.109,-0.008,0.051,-0.525,0.384,-0.012,1.0,0.518,0.352,-0.014,-0.105,-0.013,,-0.058,-0.034
fear,0.145,-0.02,0.103,-0.027,-0.166,0.044,0.12,-0.823,0.611,0.356,0.518,1.0,0.744,-0.024,-0.074,-0.001,,-0.138,0.024
arousal,0.201,0.064,0.188,0.014,-0.127,0.099,0.199,-0.775,0.78,0.635,0.352,0.744,1.0,-0.032,-0.001,0.012,,-0.167,0.079
is_weekend,-0.013,-0.031,-0.025,-0.008,-0.011,-0.014,-0.026,0.031,-0.024,-0.025,-0.014,-0.024,-0.032,1.0,-0.027,-0.004,,0.006,-0.003
is_english,0.077,0.555,0.322,0.243,0.169,0.127,0.064,0.066,-0.079,0.089,-0.105,-0.074,-0.001,-0.027,1.0,-0.046,,0.057,0.096
created_by_ai,0.034,-0.041,-0.018,-0.023,-0.016,-0.005,0.05,-0.015,0.01,0.021,-0.013,-0.001,0.012,-0.004,-0.046,1.0,,-0.004,-0.008
is_ads,,,,,,,,,,,,,,,,,,,
music_popularity_log,-0.274,0.033,-0.066,0.036,0.069,-0.084,-0.218,0.164,-0.185,-0.059,-0.058,-0.138,-0.167,0.006,0.057,-0.004,,1.0,-0.036
creator_followers_log,0.146,0.005,0.232,-0.031,0.018,0.172,0.11,-0.034,0.061,0.056,-0.034,0.024,0.079,-0.003,0.096,-0.008,,-0.036,1.0
