target,config,loco_auc,loco_ci,temporal_auc,lift_vs_TAB
y_breakout_wc,TAB,0.512,"[0.4834, 0.5374]",0.5017,0.0
y_breakout_wc,judge_only,0.4884,"[0.4632, 0.5138]",0.4999,-0.0236
y_breakout_wc,TAB+judge,0.4967,"[0.4711, 0.5228]",0.5104,-0.0153
y_breakout_wc,TAB+text,0.5212,"[0.4975, 0.5445]",0.5638,0.0092
y_breakout_wc,TAB+text+judge,0.5132,"[0.4864, 0.5372]",0.5486,0.0012
y_breakout_wc,TAB+hook,0.5141,"[0.4863, 0.5368]",0.5027,0.0021
y_breakout_wc,TAB+clarity,0.5199,"[0.4931, 0.5427]",0.5128,0.0079
y_breakout_wc,TAB+trend_fit,0.4996,"[0.4742, 0.5254]",0.5012,-0.0124
y_breakout_wc,TAB+arousal,0.5193,"[0.4917, 0.5441]",0.5137,0.0073
y_breakout_wc,TAB+saturation,0.5112,"[0.4842, 0.5354]",0.5013,-0.0008
y_breakout_wc,TAB+cta,0.5065,"[0.4778, 0.5325]",0.5085,-0.0055
y_er_wc,TAB,0.5091,"[0.483, 0.5356]",0.5141,0.0
y_er_wc,judge_only,0.526,"[0.5003, 0.5538]",0.5173,0.0169
y_er_wc,TAB+judge,0.5432,"[0.5186, 0.5688]",0.5176,0.0341
y_er_wc,TAB+text,0.5533,"[0.5284, 0.5794]",0.5471,0.0442
y_er_wc,TAB+text+judge,0.5658,"[0.5393, 0.592]",0.5438,0.0567
y_er_wc,TAB+hook,0.5164,"[0.4923, 0.545]",0.5095,0.0073
y_er_wc,TAB+clarity,0.5161,"[0.4932, 0.5425]",0.5382,0.007
y_er_wc,TAB+trend_fit,0.5092,"[0.4843, 0.5364]",0.5186,0.0001
y_er_wc,TAB+arousal,0.5315,"[0.5045, 0.5606]",0.5139,0.0224
y_er_wc,TAB+saturation,0.514,"[0.4907, 0.5428]",0.509,0.0049
y_er_wc,TAB+cta,0.509,"[0.4825, 0.5369]",0.5185,-0.0001
