target,config,model,loco_auc,loco_ci,temporal_auc,brier,n_features,marginal
y_breakout_wc,TAB,hgb,0.5301,"[0.4586, 0.5974]",0.5576,0.3981,37.0,
y_breakout_wc,+TEXT,hgb,0.5551,"[0.4773, 0.6244]",0.5718,0.4465,805.0,0.025
y_breakout_wc,+AUDIO,hgb,0.5708,"[0.4946, 0.6425]",0.5812,0.4199,1413.0,0.0157
y_breakout_wc,+VIDEO_HOOK,hgb,0.5721,"[0.4986, 0.6494]",0.6,0.4649,2447.0,0.0013
y_breakout_wc,+SigLIP,hgb,0.6237,"[0.555, 0.6916]",0.5129,0.4989,3215.0,0.0516
y_breakout_wc,+creator_fit,hgb,0.6237,"[0.555, 0.6916]",0.5129,0.4989,3217.0,0.0
y_breakout_wc,+trend,hgb,0.6237,"[0.5554, 0.6913]",0.4753,0.5034,3219.0,0.0
y_breakout_wc,video=CLIP,hgb,0.5328,"[0.4623, 0.6071]",0.3271,0.5355,549.0,
y_breakout_wc,video=SigLIP,hgb,0.6403,"[0.5745, 0.7027]",0.5435,0.5172,805.0,
y_breakout_wc,video=hookCLIP,hgb,0.583,"[0.5109, 0.6557]",0.6047,0.4827,549.0,
y_breakout_wc,audio=CLAP,hgb,0.592,"[0.525, 0.6631]",0.5882,0.4459,549.0,
y_breakout_wc,audio=lowlevel,hgb,0.5599,"[0.4931, 0.6259]",0.4518,0.4759,133.0,
y_breakout_wc,visual_lowlevel,hgb,0.5629,"[0.4955, 0.6319]",0.5294,0.4467,47.0,
y_breakout_wc,fusion=late(mean-logreg),late,0.5738,"[0.4997, 0.6464]",,,,
y_breakout_wc,fusion=early(HGB),hgb,0.6237,"[0.555, 0.6916]",0.5129,0.4989,3215.0,
y_breakout_wc,fusion=neural(MLP),mlp,0.5282,"[0.4532, 0.606]",0.5271,0.4971,3215.0,
y_breakout_wc,B_full(+day1),hgb,0.9152,"[0.8651, 0.9509]",0.9176,0.2033,3219.0,
y_er_wc,TAB,hgb,0.4728,"[0.4067, 0.5423]",0.4097,0.3767,37.0,
y_er_wc,+TEXT,hgb,0.569,"[0.5068, 0.6346]",0.3449,0.4016,805.0,0.0962
y_er_wc,+AUDIO,hgb,0.5253,"[0.4548, 0.5972]",0.4514,0.3414,1413.0,-0.0437
y_er_wc,+VIDEO_HOOK,hgb,0.5321,"[0.4689, 0.6023]",0.625,0.2709,2447.0,0.0068
y_er_wc,+SigLIP,hgb,0.5614,"[0.4876, 0.6302]",0.6435,0.2621,3215.0,0.0293
y_er_wc,+creator_fit,hgb,0.5614,"[0.4876, 0.6302]",0.6435,0.2621,3217.0,0.0
y_er_wc,+trend,hgb,0.5614,"[0.4876, 0.6302]",0.6435,0.2621,3219.0,0.0
y_er_wc,video=CLIP,hgb,0.5453,"[0.4833, 0.6189]",0.5162,0.3572,549.0,
y_er_wc,video=SigLIP,hgb,0.5378,"[0.4637, 0.6057]",0.6065,0.2913,805.0,
y_er_wc,video=hookCLIP,hgb,0.5066,"[0.4462, 0.5777]",0.6134,0.2734,549.0,
y_er_wc,audio=CLAP,hgb,0.4519,"[0.3862, 0.5296]",0.4606,0.374,549.0,
y_er_wc,audio=lowlevel,hgb,0.4851,"[0.4082, 0.5564]",0.4745,0.3455,133.0,
y_er_wc,visual_lowlevel,hgb,0.5731,"[0.5095, 0.6488]",0.5255,0.3043,47.0,
y_er_wc,fusion=late(mean-logreg),late,0.4909,"[0.4212, 0.5593]",,,,
y_er_wc,fusion=early(HGB),hgb,0.5614,"[0.4876, 0.6302]",0.6435,0.2621,3215.0,
y_er_wc,fusion=neural(MLP),mlp,0.5229,"[0.4525, 0.6008]",0.5532,0.3475,3215.0,
y_er_wc,B_full(+day1),hgb,0.7161,"[0.6475, 0.7782]",0.6644,0.2817,3219.0,
