target,encoder,loco_auc,loco_ci,temporal_auc,lift_over_TAB
y_breakout_wc,none,0.5278,"[0.5255, 0.5306]",0.5248,0.0
y_breakout_wc,minilm,0.5642,"[0.5615, 0.5668]",0.5559,0.0364
y_breakout_wc,bge,0.5674,"[0.5647, 0.57]",0.5705,0.0396
y_breakout_wc,e5,0.5722,"[0.5698, 0.5749]",0.5674,0.0444
y_breakout_wc,svd,0.5611,"[0.5587, 0.5638]",0.5555,0.0333
y_er_wc,none,0.5412,"[0.5387, 0.5439]",0.5416,0.0
y_er_wc,minilm,0.5917,"[0.5895, 0.5943]",0.6058,0.0505
y_er_wc,bge,0.5981,"[0.5961, 0.6006]",0.6102,0.0569
y_er_wc,e5,0.6001,"[0.5978, 0.603]",0.6153,0.0589
y_er_wc,svd,0.5943,"[0.5922, 0.5974]",0.6008,0.0531
